student_id,school_name,governorate,city,grade,grade_label,study_hours,attendance_pct,assignments_done,quizzes_solved,login_frequency,missed_deadlines,retries,revision_sessions,time_per_task_min,final_score,learner_status
G11_S06_0074,Smouha Secondary School,Alexandria,Alexandria,11,Grade 11 - Second Secondary,1.88,59.5,6,13.0,13,4,2,5,33.8,42.4,average
G12_S05_0087,Ahmed Orabi Secondary School,Giza,Giza,12,Grade 12 - Third Secondary,,55.4,2,9.0,13,2,3,0,45.1,28.2,at_risk
G11_S10_0125,Assiut Secondary School,Assiut,Assiut,11,Grade 11 - Second Secondary,4.68,69.4,1,13.0,20,6,2,4,21.8,50.1,average
G11_S10_0143,Assiut Secondary School,Assiut,Assiut,11,Grade 11 - Second Secondary,3.18,67.6,13,5.0,26,7,2,7,25.5,56.0,average
G10_S04_0019,Maadi Secondary School,Cairo,Cairo,10,Grade 10 - First Secondary,5.94,98.3,11,7.0,27,5,4,4,33.8,60.4,average
G11_S08_0091,Port Said Secondary School,Port Said,Port Said,11,Grade 11 - Second Secondary,5.62,78.7,18,12.0,1,0,3,2,17.8,90.1,strong
G11_S03_0110,Heliopolis Secondary School for Boys,Cairo,Cairo,11,Grade 11 - Second Secondary,5.15,79.5,18,7.0,19,2,1,0,28.1,76.1,strong
G10_S02_0002,Zamalek Secondary School,Cairo,Cairo,10,Grade 10 - First Secondary,4.45,73.2,11,7.0,9,4,3,2,45.7,50.8,average
G12_S06_0146,Smouha Secondary School,Alexandria,Alexandria,12,Grade 12 - Third Secondary,6.05,57.2,14,2.0,17,5,0,1,32.3,40.3,average
G12_S05_0049,Ahmed Orabi Secondary School,Giza,Giza,12,Grade 12 - Third Secondary,5.46,,17,3.0,24,5,3,7,41.8,70.3,strong
G10_S03_0117,Heliopolis Secondary School for Boys,Cairo,Cairo,10,Grade 10 - First Secondary,5.72,84.3,9,4.0,3,7,0,5,46.1,42.3,average
G11_S06_0054,Smouha Secondary School,Alexandria,Alexandria,11,Grade 11 - Second Secondary,5.31,91.7,1,6.0,7,2,4,3,26.0,59.6,average
G12_S04_0121,Maadi Secondary School,Cairo,Cairo,12,Grade 12 - Third Secondary,6.93,96.7,18,1.0,14,0,3,6,30.1,91.0,strong
G10_S10_0102,Assiut Secondary School,Assiut,Assiut,10,Grade 10 - First Secondary,4.05,81.4,11,4.0,21,1,4,7,38.9,51.5,average
G10_S10_0133,Assiut Secondary School,Assiut,Assiut,10,Grade 10 - First Secondary,6.62,98.1,3,4.0,27,1,1,6,12.7,55.1,average
G12_S05_0142,Ahmed Orabi Secondary School,Giza,Giza,12,Grade 12 - Third Secondary,4.93,60.3,14,10.0,29,4,1,7,28.4,81.8,strong
G10_S05_0081,Ahmed Orabi Secondary School,Giza,Giza,10,Grade 10 - First Secondary,4.47,78.0,11,4.0,1,1,0,4,34.3,73.9,strong
G12_S07_0150,Al-Raml Secondary School,Alexandria,Alexandria,12,Grade 12 - Third Secondary,4.23,86.7,10,11.0,4,6,2,1,19.6,53.3,average
G11_S09_0033,Mansoura Secondary School for Boys,Dakahlia,Mansoura,11,Grade 11 - Second Secondary,4.07,57.4,5,7.0,14,7,4,7,26.3,44.4,average
G11_S03_0065,Heliopolis Secondary School for Boys,Cairo,Cairo,11,Grade 11 - Second Secondary,5.23,89.5,9,14.0,19,1,1,1,16.1,59.0,average
G11_S07_0069,Al-Raml Secondary School,Alexandria,Alexandria,11,Grade 11 - Second Secondary,1.31,79.5,15,,9,9,1,0,7.8,15.1,at_risk
G11_S04_0024,Maadi Secondary School,Cairo,Cairo,11,Grade 11 - Second Secondary,4.9,72.5,1,9.0,22,3,2,6,21.9,46.8,average
G12_S02_0150,Zamalek Secondary School,Cairo,Cairo,12,Grade 12 - Third Secondary,4.97,74.5,1,3.0,26,6,4,6,27.7,35.6,at_risk
G12_S05_0114,Ahmed Orabi Secondary School,Giza,Giza,12,Grade 12 - Third Secondary,3.28,89.9,0,5.0,4,0,0,0,41.4,31.6,at_risk
G12_S08_0038,Port Said Secondary School,Port Said,Port Said,12,Grade 12 - Third Secondary,3.84,64.8,8,10.0,29,0,3,3,13.0,55.3,average
G10_S08_0079,Port Said Secondary School,Port Said,Port Said,10,Grade 10 - First Secondary,2.34,55.0,3,12.0,19,8,4,0,30.0,26.9,at_risk
G11_S01_0107,Al-Orman High School,Cairo,Giza,11,Grade 11 - Second Secondary,5.58,90.1,3,11.0,6,8,2,7,32.6,56.2,average
G10_S10_0089,Assiut Secondary School,Assiut,Assiut,10,Grade 10 - First Secondary,3.95,70.0,17,0.0,11,6,1,2,24.5,20.2,at_risk
G12_S04_0038,Maadi Secondary School,Cairo,Cairo,12,Grade 12 - Third Secondary,4.42,70.0,18,12.0,21,1,3,4,30.9,88.6,strong
G10_S06_0147,Smouha Secondary School,Alexandria,Alexandria,10,Grade 10 - First Secondary,5.34,61.1,9,11.0,19,2,3,6,25.5,78.2,strong
G12_S07_0121,Al-Raml Secondary School,Alexandria,Alexandria,12,Grade 12 - Third Secondary,5.28,76.8,13,6.0,23,2,2,3,28.9,56.5,average
G12_S02_0020,Zamalek Secondary School,Cairo,Cairo,12,Grade 12 - Third Secondary,5.11,78.2,0,6.0,29,7,2,1,18.0,8.8,at_risk
G10_S04_0022,Maadi Secondary School,Cairo,Cairo,10,Grade 10 - First Secondary,5.14,73.9,3,2.0,19,4,1,4,29.9,28.0,at_risk
G12_S10_0061,Assiut Secondary School,Assiut,Assiut,12,Grade 12 - Third Secondary,2.23,70.3,6,7.0,1,0,1,4,26.7,48.1,average
G12_S09_0071,Mansoura Secondary School for Boys,Dakahlia,Mansoura,12,Grade 12 - Third Secondary,5.09,56.2,10,6.0,4,5,3,5,31.3,31.3,at_risk
G12_S05_0034,Ahmed Orabi Secondary School,Giza,Giza,12,Grade 12 - Third Secondary,4.88,95.2,3,8.0,2,6,1,0,48.5,40.9,average
G11_S01_0103,Al-Orman High School,Cairo,Giza,11,Grade 11 - Second Secondary,7.34,94.1,4,14.0,15,5,4,6,28.5,91.3,strong
